Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
NWE,NorthWestern Corporation Common Stock,$56.24,-0.41,-0.724%,3091330301.00,United States,,302486,Public Utilities,Power Generation
OTTR,Otter Tail Corporation Common Stock,$66.21,-0.65,-0.972%,2750362341.00,United States,,80794,Public Utilities,Electric Utilities: Central
PCT,PureCycle Technologies Inc. Common stock,$11.34,-0.19,-1.648%,1417785813.00,United States,,494489,Public Utilities,Environmental Services
PCTTU,PureCycle Technologies Inc. Unit,$14.50,0.00,0.00%,0.00,United States,,2,Public Utilities,Environmental Services
PCTTW,PureCycle Technologies Inc. Warrant,$4.36,0.16,3.81%,0.00,United States,,10166,Public Utilities,Environmental Services
PCYO,Pure Cycle Corporation Common Stock,$14.65,-0.20,-1.347%,350410816.00,United States,,32333,Public Utilities,Water Supply
PESI,Perma-Fix Environmental Services Inc. Common Stock,$7.19,-0.10,-1.372%,95015203.00,United States,,7843,Public Utilities,Environmental Services
PI,Impinj Inc. Common Stock,$84.03,2.11,2.576%,2052930712.00,United States,2016,855811,Public Utilities,Telecommunications Equipment
PTNR,Partner Communications Company Ltd. American Depositary Shares,$6.80,-0.1699,-2.438%,1251423672.00,Israel,,41433,Public Utilities,Telecommunications Equipment
RGCO,RGC Resources Inc. Common Stock,$22.31,-0.50,-2.192%,187095854.00,United States,,9439,Public Utilities,Oil & Gas Production
SBET,SharpLink Gaming Ltd. Ordinary Shares,$2.60,-0.11,-4.059%,56497610.00,Israel,,198791,Public Utilities,Telecommunications Equipment
SHEN,Shenandoah Telecommunications Co Common Stock,$25.55,-0.34,-1.313%,1276615433.00,United States,,129682,Public Utilities,Telecommunications Equipment
SLNG,Stabilis Solutions Inc. Common Stock,$4.87,-0.22,-4.322%,86156475.00,United States,,1785,Public Utilities,Oil/Gas Transmission
SMED,Sharps Compliance Corp. Common Stock,$7.09,-0.05,-0.70%,136335340.00,United States,,106462,Public Utilities,Environmental Services
SRCL,Stericycle Inc. Common Stock,$58.68,-0.11,-0.187%,5390522190.00,United States,1996,518086,Public Utilities,Environmental Services
TIGO,Millicom International Cellular S.A. Common Stock,$30.04,-0.35,-1.152%,3023411668.00,Luxembourg,,89076,Public Utilities,Telecommunications Equipment
TMUS,T-Mobile US Inc. Common Stock,$113.99,-0.76,-0.662%,142379611771.00,United States,,4040983,Public Utilities,Telecommunications Equipment
VEON,VEON Ltd. ADS,$1.78,0.00,0.00%,3113446779.00,Netherlands,,2500498,Public Utilities,Telecommunications Equipment
VG,Vonage Holdings Corp. Common Stock,$20.70,-0.11,-0.529%,5230414811.00,United States,2006,4089700,Public Utilities,Telecommunications Equipment
VIA,Via Renewables Inc. Class A Common Stock,$11.08,-0.05,-0.449%,172542059.00,United States,2014,52846,Public Utilities,Power Generation
VIASP,Via Renewables Inc. 8.75% Series A Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Stock,$25.36,0.08,0.316%,0.00,United States,,460,Public Utilities,Power Generation
VOD,Vodafone Group Plc American Depositary Shares,$14.94,-0.20,-1.321%,40732338028.00,United Kingdom,,7848831,Public Utilities,Telecommunications Equipment
VWTR,Vidler Water Resources Inc. Common Stock,$12.66,-0.06,-0.472%,231928276.00,United States,,85325,Public Utilities,Water Supply
XEL,Xcel Energy Inc. Common Stock,$66.80,-0.31,-0.462%,35983528076.00,United States,,3222575,Public Utilities,Power Generation
YORW,York Water Company (The) Common Stock,$47.68,-0.60,-1.243%,624827757.00,United States,,22780,Public Utilities,Water Supply
